fips,wage,employment
05105,18014.971556886227,668
05107,21264.446812108912,5913
05109,18212.02493765586,2406
05111,21045.78665910809,5292
05113,18926.60708756236,5813
05115,26086.499673507464,21440
05117,20224.3571945047,1383
05119,30011.697588229912,196702
05121,19316.977796574327,4729
05123,21312.3956284153,7320
05125,24071.253444706217,14007
05127,18069.494171670787,2831
05129,13430.864186046512,1075
05131,26645.07389418907,69180
05133,20099.10959192259,4754
05135,16744.80439882698,3410
05137,16489.161182840482,2401
05139,26619.665871248275,18858
05141,17547.03246533649,2957
05143,25511.410751025054,68533
05145,23732.50319973055,20783
05147,22341.758350730688,1916
05149,19322.836459246275,5705
06001,44514.79106201484,586150
06003,14129.020661157025,968
06005,22996.628444230537,8311
06007,23304.12834437315,57821
06009,20906.151915903698,5898
06011,22259.81798142025,6351
06013,43185.1230643039,292595
06015,19679.58162207011,4821
06017,28451.380974330903,34711
06019,24083.061972509342,265763
06021,21806.668375464025,5657
06023,23369.13385131097,38483
06025,19908.38479790316,36245
06027,21783.951360417443,5366
06029,25418.012941717352,189233
06031,22435.74824333972,26613
06033,20714.052466085708,11131
06035,22991.17952157389,4473
06037,39226.16596626281,3548191
06039,21698.25838777193,31534
06041,43144.73473282443,99036
06043,20277.206001875587,3199
06045,22781.663243677824,27364
06047,23300.744643756538,51622
06049,17556.696876913655,1633
06051,19939.22086012862,4976
06053,28039.486257646953,135348
06055,32601.940611505917,51643
06057,27737.57800194673,22602
06059,39298.66910636855,1250426
06061,33550.85268768182,92124
06063,24283.473285745185,4623
06065,27401.60124930342,385815
06067,34428.47580563867,406727
06069,26835.57007087629,12416
06071,28175.576136717445,433595
06073,36842.76588967123,1004253
06075,58555.07113498695,523821
06077,27641.420018322584,167007
06079,25918.16999186202,76186
06081,68953.14891060855,350425
06083,31536.471614122813,147591
06085,79544.16112143827,943574
06087,35740.14557302635,85476
06089,25625.305050712017,48805
06091,26226.34358974359,585
06093,19800.01333706398,10722
06095,30164.744598014404,92466
06097,35678.346777625135,164506
06099,26640.359159102736,138376
06101,22805.82961736929,20542
06103,24071.85074404762,13440
06105,17701.485011990408,1668
06107,21688.141525302923,105225
06109,22806.796454713818,11339
06111,36346.12422304772,246315
06113,29968.55798669552,62385
06115,25387.669293453928,11167
08001,33644.74457236972,126897
08003,20450.9112634309,5398
08005,47656.862404648906,255372
08007,20503.50554675119,2524
08009,16495.40535372849,523
08011,21672.14950166113,602
08013,46736.41776397595,156823
08015,18817.305020920503,4780
08017,28431.819477434678,421
08019,29090.654988913524,2255
08021,20435.27125506073,988
08023,17892.653421633553,453
08025,20112.125205930806,607
08027,20425.08121019108,628
08029,20475.701179071482,5428
08031,44678.57754127277,403656
08033,18219.388,250
08035,32960.15663205997,49894
08037,30229.44987594976,25796
08039,27039.587847385774,2123
08041,33031.14522566932,200426
08043,21226.944792391558,8622
08045,29101.12311714179,16066
08047,28143.220108695652,5152
08049,20839.426124977228,5489
08051,20945.894702946385,6211
08053,14766.586614173228,254
08055,19275.95729764181,1569
08057,19366.273775216137,347
08059,35826.2216466266,178559
08061,18984.927184466018,206
08063,20767.50206706477,2177
08065,20841.867528271407,1238
08067,24351.840691519315,17758
08069,31880.72162356686,98647
08071,19514.873367749773,3293
08073,19546.039232781168,1147
08075,21126.31123388582,5973
08077,25023.601566765577,42125
08079,16400.358904109587,365
08081,28427.192242355606,3532
08083,20758.95003403676,7345
08085,22056.586613782845,10085
08087,24238.18496309963,8672
08089,20295.878782355085,5486
08091,21005.78897338403,1052
08093,23951.166288737717,1323
08095,20720.662463627545,1031
08097,41074.92050296891,14315
08099,22309.116750208854,4788
08101,23917.621542841647,44256
08103,28165.124920735572,1577
08105,20291.087246289004,3301
08107,27227.45156469761,11376
08109,17601.237781954886,1064
08111,16013.273631840795,201
08113,25903.572398190045,3978
08115,18486.14893617021,517
